"locale","region","date","description","type","notes"
"jp-JP","","2012-01-01","元日","NF",""
"jp-JP","","2012-01-02","振替休日","NV",""
"jp-JP","","2012-01-09","成人の日","NV",""
"jp-JP","","2012-02-11","建国記念の日","NF",""
"jp-JP","","2012-03-20","春分の日","NV",""
"jp-JP","","2012-04-29","昭和の日","NF",""
"jp-JP","","2012-04-30","振替休日","NV",""
"jp-JP","","2012-05-03","憲法記念日","NF",""
"jp-JP","","2012-05-04","みどりの日","NF",""
"jp-JP","","2012-05-05","こどもの日","NF",""
"jp-JP","","2012-07-16","海の日","NV",""
"jp-JP","","2012-09-17","敬老の日","NV",""
"jp-JP","","2012-09-22","秋分の日","NV",""
"jp-JP","","2012-10-08","体育の日","NV",""
"jp-JP","","2012-11-03","文化の日","NF",""
"jp-JP","","2012-11-23","勤労感謝の日","NF",""
"jp-JP","","2012-12-23","天皇誕生日","NF",""
"jp-JP","","2012-12-24","振替休日","NV",""
